,node_loc,technology,year_vtg,year_act,mode,time,lvl,mrg
0,South Africa,bio_istig,1990,2010,M1,year,0.0,0.0
1,South Africa,bio_istig,1995,2010,M1,year,0.0,0.0
2,South Africa,bio_istig,1995,2020,M1,year,0.0,88.68105
3,South Africa,bio_istig,2000,2010,M1,year,0.0,0.0
4,South Africa,bio_istig,2000,2020,M1,year,0.0,88.68105
5,South Africa,bio_istig,2005,2010,M1,year,0.0,0.0
6,South Africa,bio_istig,2005,2020,M1,year,0.0,88.68105
7,South Africa,bio_istig,2005,2030,M1,year,0.0021,0.0
8,South Africa,bio_istig,2010,2010,M1,year,0.0,0.0
9,South Africa,bio_istig,2010,2020,M1,year,0.0,0.0
10,South Africa,bio_istig,2010,2030,M1,year,0.0,0.0
11,South Africa,bio_istig,2020,2020,M1,year,0.03892694,0.0
12,South Africa,bio_istig,2020,2030,M1,year,0.00457964,0.0
13,South Africa,bio_istig,2020,2040,M1,year,0.0,0.0
14,South Africa,bio_istig,2030,2030,M1,year,0.0068933447,0.0
15,South Africa,bio_istig,2030,2040,M1,year,0.0015968217,0.0
16,South Africa,bio_istig,2030,2050,M1,year,0.006786492,0.0
17,South Africa,bio_istig,2040,2040,M1,year,0.0031357852,0.0
18,South Africa,bio_istig,2040,2050,M1,year,0.004732607,0.0
19,South Africa,bio_istig,2040,2060,M1,year,0.0023663035,0.0
20,South Africa,bio_istig,2050,2050,M1,year,0.001650158,0.0
21,South Africa,bio_istig,2050,2060,M1,year,0.001650158,0.0
22,South Africa,bio_istig,2050,2070,M1,year,0.000825079,0.0
23,South Africa,bio_istig,2060,2060,M1,year,0.0005753745,0.0
24,South Africa,bio_istig,2060,2070,M1,year,0.0005753745,0.0
25,South Africa,bio_istig,2070,2070,M1,year,0.00020062068,0.0
26,South Africa,biomass_t_d,1990,1990,M1,year,0.0,0.0
27,South Africa,biomass_t_d,1995,1995,M1,year,0.0,0.0
28,South Africa,biomass_t_d,2000,2000,M1,year,0.0,0.0
29,South Africa,biomass_t_d,2005,2005,M1,year,0.0,0.0
30,South Africa,biomass_t_d,2010,2010,M1,year,0.0,0.0
31,South Africa,biomass_t_d,2020,2020,M1,year,12.741727,0.0
32,South Africa,biomass_t_d,2030,2030,M1,year,12.727171,0.0
33,South Africa,biomass_t_d,2040,2040,M1,year,10.51173,0.0
34,South Africa,biomass_t_d,2050,2050,M1,year,7.765947,0.0
35,South Africa,biomass_t_d,2060,2060,M1,year,4.6630645,0.0
36,South Africa,biomass_t_d,2070,2070,M1,year,1.5322998,0.0
37,South Africa,biomass_i,1995,1995,M1,year,0.0,0.0
38,South Africa,biomass_i,1995,2000,M1,year,0.0,0.0
39,South Africa,biomass_i,1995,2005,M1,year,0.0,0.0
40,South Africa,biomass_i,1995,2010,M1,year,0.0,0.0
41,South Africa,biomass_i,1995,2020,M1,year,0.0,57.502247
42,South Africa,biomass_i,2000,2000,M1,year,0.0,0.0
43,South Africa,biomass_i,2000,2005,M1,year,0.0,0.0
44,South Africa,biomass_i,2000,2010,M1,year,0.0,0.0
45,South Africa,biomass_i,2000,2020,M1,year,0.0,0.0
46,South Africa,biomass_i,2005,2005,M1,year,0.0,0.0
47,South Africa,biomass_i,2005,2010,M1,year,0.0,0.0
48,South Africa,biomass_i,2005,2020,M1,year,0.0,0.0
49,South Africa,biomass_i,2005,2030,M1,year,0.0,0.0
50,South Africa,biomass_i,2010,2010,M1,year,0.0,0.0
51,South Africa,biomass_i,2010,2020,M1,year,0.0,0.0
52,South Africa,biomass_i,2010,2030,M1,year,0.0,0.0
53,South Africa,biomass_i,2020,2020,M1,year,1.6079788,0.0
54,South Africa,biomass_i,2020,2030,M1,year,0.0,0.0
55,South Africa,biomass_i,2020,2040,M1,year,0.0,3.6681087
56,South Africa,biomass_i,2030,2030,M1,year,0.96275634,0.0
57,South Africa,biomass_i,2030,2040,M1,year,0.0,0.0
58,South Africa,biomass_i,2030,2050,M1,year,0.0,1.841921
59,South Africa,biomass_i,2040,2040,M1,year,0.5764378,0.0
60,South Africa,biomass_i,2040,2050,M1,year,0.0,0.0
61,South Africa,biomass_i,2040,2060,M1,year,0.0,2.603753
62,South Africa,biomass_i,2050,2050,M1,year,0.3451346,0.0
63,South Africa,biomass_i,2050,2060,M1,year,0.0,0.0
64,South Africa,biomass_i,2050,2070,M1,year,0.0,1.705134
65,South Africa,biomass_i,2060,2060,M1,year,0.20664482,0.0
66,South Africa,biomass_i,2060,2070,M1,year,0.0,1.705134
67,South Africa,biomass_i,2070,2070,M1,year,0.12372588,0.0
68,South Africa,biomass_rc,1995,1995,M1,year,0.0,0.0
69,South Africa,biomass_rc,2000,2000,M1,year,0.0,0.0
70,South Africa,biomass_rc,2005,2005,M1,year,0.0,0.0
71,South Africa,biomass_rc,2010,2010,M1,year,0.0,0.0
72,South Africa,biomass_rc,2020,2020,M1,year,3.9481344,0.0
73,South Africa,biomass_rc,2030,2030,M1,year,4.9929214,0.0
74,South Africa,biomass_rc,2040,2040,M1,year,4.7909956,0.0
75,South Africa,biomass_rc,2050,2050,M1,year,3.9792335,0.0
76,South Africa,biomass_rc,2060,2060,M1,year,2.6459682,0.0
77,South Africa,biomass_rc,2070,2070,M1,year,0.9225921,0.0
78,South Africa,biomass_nc,1990,1990,M1,year,0.0,0.0
79,South Africa,biomass_nc,1990,1995,M1,year,0.0,0.0
80,South Africa,biomass_nc,1995,1995,M1,year,0.0,0.0
81,South Africa,biomass_nc,1995,2000,M1,year,0.0,0.0
82,South Africa,biomass_nc,2000,2000,M1,year,0.0,0.0
83,South Africa,biomass_nc,2000,2005,M1,year,0.0,0.0
84,South Africa,biomass_nc,2005,2005,M1,year,0.0,0.0
85,South Africa,biomass_nc,2005,2010,M1,year,0.0,0.0
86,South Africa,biomass_nc,2010,2010,M1,year,0.0,0.0
87,South Africa,biomass_nc,2010,2020,M1,year,0.0,0.0
88,South Africa,biomass_nc,2020,2020,M1,year,0.0,167.21317
89,South Africa,biomass_nc,2030,2030,M1,year,0.0,102.65438
90,South Africa,biomass_nc,2040,2040,M1,year,0.0,63.020885
91,South Africa,biomass_nc,2050,2050,M1,year,0.0,38.689354
