,node_loc,technology,year_vtg,value,unit
0,South Africa,bio_istig,2010,1276,USD/GWa
1,South Africa,bio_istig,2020,1127,USD/GWa
2,South Africa,bio_istig,2030,1044,USD/GWa
3,South Africa,bio_istig,2040,1015,USD/GWa
4,South Africa,bio_istig,2050,1026,USD/GWa
5,South Africa,bio_istig,2060,1037,USD/GWa
6,South Africa,bio_istig,2070,1048,USD/GWa
7,South Africa,biomass_i,1995,197,USD/GWa
8,South Africa,biomass_i,2000,197,USD/GWa
9,South Africa,biomass_i,2005,192,USD/GWa
10,South Africa,biomass_i,2010,184,USD/GWa
11,South Africa,biomass_i,2020,180,USD/GWa
12,South Africa,biomass_i,2030,179,USD/GWa
13,South Africa,biomass_i,2040,182,USD/GWa
14,South Africa,biomass_i,2050,186,USD/GWa
15,South Africa,biomass_i,2060,190,USD/GWa
16,South Africa,biomass_i,2070,194,USD/GWa
17,South Africa,biomass_nc,1990,0,USD/GWa
18,South Africa,biomass_nc,1995,0,USD/GWa
19,South Africa,biomass_nc,2000,0,USD/GWa
20,South Africa,biomass_nc,2005,0,USD/GWa
21,South Africa,biomass_nc,2010,0,USD/GWa
22,South Africa,biomass_nc,2020,0,USD/GWa
23,South Africa,biomass_nc,2030,0,USD/GWa
24,South Africa,biomass_nc,2040,0,USD/GWa
25,South Africa,biomass_nc,2050,0,USD/GWa
26,South Africa,biomass_nc,2060,0,USD/GWa
27,South Africa,biomass_nc,2070,0,USD/GWa
28,South Africa,coal_adv,2010,1284,USD/GWa
29,South Africa,coal_adv,2020,1137,USD/GWa
30,South Africa,coal_adv,2030,1068,USD/GWa
31,South Africa,coal_adv,2040,1063,USD/GWa
32,South Africa,coal_adv,2050,1107,USD/GWa
33,South Africa,coal_adv,2060,1151,USD/GWa
34,South Africa,coal_adv,2070,1195,USD/GWa
35,South Africa,coal_adv_ccs,2020,1582,USD/GWa
36,South Africa,coal_adv_ccs,2030,1489,USD/GWa
37,South Africa,coal_adv_ccs,2040,1472,USD/GWa
38,South Africa,coal_adv_ccs,2050,1515,USD/GWa
39,South Africa,coal_adv_ccs,2060,1558,USD/GWa
40,South Africa,coal_adv_ccs,2070,1601,USD/GWa
41,South Africa,coal_exp,2010,250,???
42,South Africa,coal_exp,2020,250,???
43,South Africa,coal_exp,2030,250,???
44,South Africa,coal_exp,2040,250,???
45,South Africa,coal_exp,2050,250,???
46,South Africa,coal_exp,2060,250,???
47,South Africa,coal_exp,2070,250,???
48,South Africa,coal_extr,1990,50,USD/GWa
49,South Africa,coal_extr,1995,50,USD/GWa
50,South Africa,coal_extr,2000,50,USD/GWa
51,South Africa,coal_extr,2005,50,USD/GWa
52,South Africa,coal_extr,2010,50,USD/GWa
53,South Africa,coal_extr,2020,55.23110627,USD/GWa
54,South Africa,coal_extr,2030,61.009502,USD/GWa
55,South Africa,coal_extr,2040,67.39244577,USD/GWa
56,South Africa,coal_extr,2050,74.44318668,USD/GWa
57,South Africa,coal_extr,2060,82.23159109,USD/GWa
58,South Africa,coal_extr,2070,90.83483493,USD/GWa
59,South Africa,coal_gas,2010,813,USD/GWa
60,South Africa,coal_gas,2020,789,USD/GWa
61,South Africa,coal_gas,2030,764,USD/GWa
62,South Africa,coal_gas,2040,740,USD/GWa
63,South Africa,coal_gas,2050,740,USD/GWa
64,South Africa,coal_gas,2060,740,USD/GWa
65,South Africa,coal_gas,2070,740,USD/GWa
66,South Africa,coal_i,1990,136,USD/GWa
67,South Africa,coal_i,1995,136,USD/GWa
68,South Africa,coal_i,2000,136,USD/GWa
69,South Africa,coal_i,2005,131,USD/GWa
70,South Africa,coal_i,2010,123,USD/GWa
71,South Africa,coal_i,2020,119,USD/GWa
72,South Africa,coal_i,2030,118,USD/GWa
73,South Africa,coal_i,2040,120,USD/GWa
74,South Africa,coal_i,2050,123,USD/GWa
75,South Africa,coal_i,2060,126,USD/GWa
76,South Africa,coal_i,2070,129,USD/GWa
77,South Africa,coal_ppl,1995,1036,USD/GWa
78,South Africa,coal_ppl,2000,1036,USD/GWa
79,South Africa,coal_ppl,2005,945,USD/GWa
80,South Africa,coal_ppl,2010,813,USD/GWa
81,South Africa,coal_ppl,2020,703.5,USD/GWa
