,node,commodity,level,year,time,value,unit
0,South Africa,i_feed,useful,2010,year,5.305206,GWa
1,South Africa,i_feed,useful,2020,year,5.752860396,GWa
2,South Africa,i_feed,useful,2030,year,6.838242479,GWa
3,South Africa,i_feed,useful,2040,year,7.537821005,GWa
4,South Africa,i_feed,useful,2050,year,8.000007677,GWa
5,South Africa,i_feed,useful,2060,year,8.378869788,GWa
6,South Africa,i_feed,useful,2070,year,8.657458722,GWa
7,South Africa,i_spec,useful,2010,year,9.796942,GWa
8,South Africa,i_spec,useful,2020,year,13.5831954,GWa
9,South Africa,i_spec,useful,2030,year,17.93314366,GWa
10,South Africa,i_spec,useful,2040,year,21.40056903,GWa
11,South Africa,i_spec,useful,2050,year,23.41350498,GWa
12,South Africa,i_spec,useful,2060,year,25.15113923,GWa
13,South Africa,i_spec,useful,2070,year,26.55029428,GWa
14,South Africa,i_therm,useful,2010,year,8.721247,GWa
15,South Africa,i_therm,useful,2020,year,11.47356969,GWa
16,South Africa,i_therm,useful,2030,year,13.85764358,GWa
17,South Africa,i_therm,useful,2040,year,15.7187212,GWa
18,South Africa,i_therm,useful,2050,year,16.56264467,GWa
19,South Africa,i_therm,useful,2060,year,17.23943781,GWa
20,South Africa,i_therm,useful,2070,year,17.7163344,GWa
21,South Africa,rc_spec,useful,2010,year,3.8014915,GWa
22,South Africa,rc_spec,useful,2020,year,5.576190581,GWa
23,South Africa,rc_spec,useful,2030,year,8.190588444,GWa
24,South Africa,rc_spec,useful,2040,year,11.44402532,GWa
25,South Africa,rc_spec,useful,2050,year,14.91702081,GWa
26,South Africa,rc_spec,useful,2060,year,18.11032318,GWa
27,South Africa,rc_spec,useful,2070,year,20.93863098,GWa
28,South Africa,rc_therm,useful,2010,year,4.321114,GWa
29,South Africa,rc_therm,useful,2020,year,9.502537779,GWa
30,South Africa,rc_therm,useful,2030,year,11.81485498,GWa
31,South Africa,rc_therm,useful,2040,year,14.3184387,GWa
32,South Africa,rc_therm,useful,2050,year,17.3299764,GWa
33,South Africa,rc_therm,useful,2060,year,20.06529652,GWa
34,South Africa,rc_therm,useful,2070,year,22.4463434,GWa
35,South Africa,transport,useful,2010,year,19.463755,GWa
36,South Africa,transport,useful,2020,year,26.27219639,GWa
37,South Africa,transport,useful,2030,year,34.81059695,GWa
38,South Africa,transport,useful,2040,year,43.95402305,GWa
39,South Africa,transport,useful,2050,year,52.38564953,GWa
40,South Africa,transport,useful,2060,year,60.01430375,GWa
41,South Africa,transport,useful,2070,year,66.61784564,GWa
