,node,commodity,level,year,time,value,unit
0,South Africa,i_feed,useful,2010,year,5.305206,GWa
1,South Africa,i_feed,useful,2020,year,5.612546728,GWa
2,South Africa,i_feed,useful,2030,year,6.512611885,GWa
3,South Africa,i_feed,useful,2040,year,7.011926516,GWa
4,South Africa,i_feed,useful,2050,year,7.272734252,GWa
5,South Africa,i_feed,useful,2060,year,7.447884256,GWa
6,South Africa,i_feed,useful,2070,year,7.528224976,GWa
7,South Africa,i_spec,useful,2010,year,9.796942,GWa
8,South Africa,i_spec,useful,2020,year,13.25189795,GWa
9,South Africa,i_spec,useful,2030,year,17.07918444,GWa
10,South Africa,i_spec,useful,2040,year,19.90750607,GWa
11,South Africa,i_spec,useful,2050,year,21.28500453,GWa
12,South Africa,i_spec,useful,2060,year,22.3565682,GWa
13,South Africa,i_spec,useful,2070,year,23.08721242,GWa
14,South Africa,i_therm,useful,2010,year,8.721247,GWa
15,South Africa,i_therm,useful,2020,year,11.19372653,GWa
16,South Africa,i_therm,useful,2030,year,13.19775579,GWa
17,South Africa,i_therm,useful,2040,year,14.62206623,GWa
18,South Africa,i_therm,useful,2050,year,15.0569497,GWa
19,South Africa,i_therm,useful,2060,year,15.32394472,GWa
20,South Africa,i_therm,useful,2070,year,15.40550817,GWa
21,South Africa,rc_spec,useful,2010,year,3.8014915,GWa
22,South Africa,rc_spec,useful,2020,year,5.440185933,GWa
23,South Africa,rc_spec,useful,2030,year,7.800560423,GWa
24,South Africa,rc_spec,useful,2040,year,10.64560495,GWa
25,South Africa,rc_spec,useful,2050,year,13.56092801,GWa
26,South Africa,rc_spec,useful,2060,year,16.09806505,GWa
27,South Africa,rc_spec,useful,2070,year,18.2075052,GWa
28,South Africa,rc_therm,useful,2010,year,4.321114,GWa
29,South Africa,rc_therm,useful,2020,year,9.270768565,GWa
30,South Africa,rc_therm,useful,2030,year,11.25224284,GWa
31,South Africa,rc_therm,useful,2040,year,13.31947786,GWa
32,South Africa,rc_therm,useful,2050,year,15.754524,GWa
33,South Africa,rc_therm,useful,2060,year,17.83581913,GWa
34,South Africa,rc_therm,useful,2070,year,19.51855948,GWa
35,South Africa,transport,useful,2010,year,19.463755,GWa
36,South Africa,transport,useful,2020,year,25.63141111,GWa
37,South Africa,transport,useful,2030,year,33.15294948,GWa
38,South Africa,transport,useful,2040,year,40.8874633,GWa
39,South Africa,transport,useful,2050,year,47.62331775,GWa
40,South Africa,transport,useful,2060,year,53.34604778,GWa
41,South Africa,transport,useful,2070,year,57.92856143,GWa
