,node,commodity,level,year,time,value,unit
0,South Africa,i_feed,useful,2010,year,5.305206,GWa
1,South Africa,i_feed,useful,2020,year,5.686637,GWa
2,South Africa,i_feed,useful,2030,year,6.7736335,GWa
3,South Africa,i_feed,useful,2040,year,7.523378,GWa
4,South Africa,i_feed,useful,2050,year,8.152132,GWa
5,South Africa,i_feed,useful,2060,year,8.780886,GWa
6,South Africa,i_feed,useful,2070,year,9.409639,GWa
7,South Africa,i_spec,useful,2010,year,9.796942,GWa
8,South Africa,i_spec,useful,2020,year,13.426834,GWa
9,South Africa,i_spec,useful,2030,year,17.763708,GWa
10,South Africa,i_spec,useful,2040,year,21.359564,GWa
11,South Africa,i_spec,useful,2050,year,23.858725,GWa
12,South Africa,i_spec,useful,2060,year,26.357885,GWa
13,South Africa,i_spec,useful,2070,year,28.857046,GWa
14,South Africa,i_therm,useful,2010,year,8.721247,GWa
15,South Africa,i_therm,useful,2020,year,11.341493,GWa
16,South Africa,i_therm,useful,2030,year,13.726714,GWa
17,South Africa,i_therm,useful,2040,year,15.688603,GWa
18,South Africa,i_therm,useful,2050,year,16.877592,GWa
19,South Africa,i_therm,useful,2060,year,18.066582,GWa
20,South Africa,i_therm,useful,2070,year,19.255571,GWa
21,South Africa,rc_spec,useful,2010,year,3.8014915,GWa
22,South Africa,rc_spec,useful,2020,year,7.2225103,GWa
23,South Africa,rc_spec,useful,2030,year,12.424913,GWa
24,South Africa,rc_spec,useful,2040,year,19.042704,GWa
25,South Africa,rc_spec,useful,2050,year,26.59986,GWa
26,South Africa,rc_spec,useful,2060,year,34.157013,GWa
27,South Africa,rc_spec,useful,2070,year,41.714165,GWa
28,South Africa,rc_therm,useful,2010,year,4.321114,GWa
29,South Africa,rc_therm,useful,2020,year,7.682641,GWa
30,South Africa,rc_therm,useful,2030,year,7.3915153,GWa
31,South Africa,rc_therm,useful,2040,year,6.6703973,GWa
32,South Africa,rc_therm,useful,2050,year,6.2603307,GWa
33,South Africa,rc_therm,useful,2060,year,5.850264,GWa
34,South Africa,rc_therm,useful,2070,year,5.4401975,GWa
35,South Africa,transport,useful,2010,year,19.463755,GWa
36,South Africa,transport,useful,2020,year,25.969767,GWa
37,South Africa,transport,useful,2030,year,34.4817,GWa
38,South Africa,transport,useful,2040,year,43.869804,GWa
39,South Africa,transport,useful,2050,year,53.38179,GWa
40,South Africa,transport,useful,2060,year,62.893776,GWa
41,South Africa,transport,useful,2070,year,72.40576,GWa
