,node,commodity,level,year,time,lvl,mrg
0,South Africa,rc_therm,useful,2020,year,7.682641,0.0
1,South Africa,rc_therm,useful,2030,year,7.3915153,0.0
2,South Africa,rc_therm,useful,2040,year,6.6703973,0.0
3,South Africa,rc_therm,useful,2050,year,6.2603307,0.0
4,South Africa,rc_therm,useful,2060,year,5.850264,0.0
5,South Africa,rc_therm,useful,2070,year,5.4401975,0.0
6,South Africa,i_therm,useful,2020,year,11.341493,0.0
7,South Africa,i_therm,useful,2030,year,13.726714,0.0
8,South Africa,i_therm,useful,2040,year,15.688603,0.0
9,South Africa,i_therm,useful,2050,year,16.877592,0.0
10,South Africa,i_therm,useful,2060,year,18.066582,0.0
11,South Africa,i_therm,useful,2070,year,19.255571,0.0
12,South Africa,rc_spec,useful,2020,year,7.2225103,0.0
13,South Africa,rc_spec,useful,2030,year,12.424913,0.0
14,South Africa,rc_spec,useful,2040,year,19.042704,0.0
15,South Africa,rc_spec,useful,2050,year,26.59986,0.0
16,South Africa,rc_spec,useful,2060,year,34.157013,0.0
17,South Africa,rc_spec,useful,2070,year,41.714165,0.0
18,South Africa,transport,useful,2020,year,25.969767,0.0
19,South Africa,transport,useful,2030,year,34.4817,0.0
20,South Africa,transport,useful,2040,year,43.869804,0.0
21,South Africa,transport,useful,2050,year,53.38179,0.0
22,South Africa,transport,useful,2060,year,62.893776,0.0
23,South Africa,transport,useful,2070,year,72.40576,0.0
24,South Africa,i_feed,useful,2020,year,5.686637,0.0
25,South Africa,i_feed,useful,2030,year,6.7736335,0.0
26,South Africa,i_feed,useful,2040,year,7.523378,0.0
27,South Africa,i_feed,useful,2050,year,8.152132,0.0
28,South Africa,i_feed,useful,2060,year,8.780886,0.0
29,South Africa,i_feed,useful,2070,year,9.409639,0.0
30,South Africa,i_spec,useful,2020,year,13.426834,0.0
31,South Africa,i_spec,useful,2030,year,17.763708,0.0
32,South Africa,i_spec,useful,2040,year,21.359564,0.0
33,South Africa,i_spec,useful,2050,year,23.858725,0.0
34,South Africa,i_spec,useful,2060,year,26.357885,0.0
35,South Africa,i_spec,useful,2070,year,28.857046,0.0
