,node,emission,type_tec,year,lvl,mrg
0,World,CO2,all,2020,514.15643,0.0
1,World,CO2,all,2030,649.0099,0.0
2,World,CO2,all,2040,728.20984,0.0
3,World,CO2,all,2050,853.519,0.0
4,World,CO2,all,2060,1024.6703,0.0
5,World,CO2,all,2070,1257.014,0.0
6,World,CH4,all,2020,13.374521,0.0
7,World,CH4,all,2030,15.471477,0.0
8,World,CH4,all,2040,16.47261,0.0
9,World,CH4,all,2050,18.81699,0.0
10,World,CH4,all,2060,22.246155,0.0
11,World,CH4,all,2070,27.696543,0.0
12,South Africa,CO2,all,2020,514.15643,0.0
13,South Africa,CO2,all,2030,649.0099,0.0
14,South Africa,CO2,all,2040,728.20984,0.0
15,South Africa,CO2,all,2050,853.519,0.0
16,South Africa,CO2,all,2060,1024.6703,0.0
17,South Africa,CO2,all,2070,1257.014,0.0
18,South Africa,CH4,all,2020,13.374521,0.0
19,South Africa,CH4,all,2030,15.471477,0.0
20,South Africa,CH4,all,2040,16.47261,0.0
21,South Africa,CH4,all,2050,18.81699,0.0
22,South Africa,CH4,all,2060,22.246155,0.0
23,South Africa,CH4,all,2070,27.696543,0.0
