,node_loc,technology,year_vtg,year_act,mode,time,lvl,mrg
0,South Africa,bio_istig,1990,2010,M1,year,0.0,0.0
1,South Africa,bio_istig,1995,2010,M1,year,0.0,0.0
2,South Africa,bio_istig,1995,2020,M1,year,0.00062500004,0.0
3,South Africa,bio_istig,2000,2010,M1,year,0.0,0.0
4,South Africa,bio_istig,2000,2020,M1,year,0.020347282,0.0
5,South Africa,bio_istig,2005,2010,M1,year,0.0,0.0
6,South Africa,bio_istig,2005,2020,M1,year,0.0042,0.0
7,South Africa,bio_istig,2005,2030,M1,year,0.0021,0.0
8,South Africa,bio_istig,2010,2010,M1,year,0.0,0.0
9,South Africa,bio_istig,2010,2020,M1,year,0.0,0.0
10,South Africa,bio_istig,2010,2030,M1,year,0.0,0.0
11,South Africa,bio_istig,2020,2020,M1,year,0.006677032,0.0
12,South Africa,bio_istig,2020,2030,M1,year,0.006677032,0.0
13,South Africa,bio_istig,2020,2040,M1,year,0.0007322247,0.0
14,South Africa,bio_istig,2030,2030,M1,year,0.002328137,0.0
15,South Africa,bio_istig,2030,2040,M1,year,0.002328137,0.0
16,South Africa,bio_istig,2030,2050,M1,year,0.0011640685,0.0
17,South Africa,bio_istig,2040,2040,M1,year,0.00081177114,0.0
18,South Africa,bio_istig,2040,2050,M1,year,0.00015276107,0.0
19,South Africa,bio_istig,2040,2060,M1,year,8.902143e-05,0.0
20,South Africa,bio_istig,2050,2050,M1,year,3.3299657e-05,0.0
21,South Africa,bio_istig,2050,2060,M1,year,0.0002830471,0.0
22,South Africa,bio_istig,2050,2070,M1,year,0.00012973227,0.0
23,South Africa,bio_istig,2060,2060,M1,year,9.869242e-05,0.0
24,South Africa,bio_istig,2060,2070,M1,year,0.0,1.7763568e-15
25,South Africa,bio_istig,2070,2070,M1,year,3.4411918e-05,0.0
26,South Africa,biomass_t_d,1990,1990,M1,year,0.0,0.0
27,South Africa,biomass_t_d,1995,1995,M1,year,0.0,0.0
28,South Africa,biomass_t_d,2000,2000,M1,year,0.0,0.0
29,South Africa,biomass_t_d,2005,2005,M1,year,0.0,0.0
30,South Africa,biomass_t_d,2010,2010,M1,year,0.0,0.0
31,South Africa,biomass_t_d,2020,2020,M1,year,15.765359,0.0
32,South Africa,biomass_t_d,2030,2030,M1,year,18.273195,0.0
33,South Africa,biomass_t_d,2040,2040,M1,year,19.989534,0.0
34,South Africa,biomass_t_d,2050,2050,M1,year,19.996351,0.0
35,South Africa,biomass_t_d,2060,2060,M1,year,19.998728,0.0
36,South Africa,biomass_t_d,2070,2070,M1,year,19.999556,0.0
37,South Africa,biomass_i,1995,1995,M1,year,0.0,0.0
38,South Africa,biomass_i,1995,2000,M1,year,0.0,0.0
39,South Africa,biomass_i,1995,2005,M1,year,0.0,0.0
40,South Africa,biomass_i,1995,2010,M1,year,0.0,0.0
41,South Africa,biomass_i,1995,2020,M1,year,0.0,0.0
42,South Africa,biomass_i,2000,2000,M1,year,0.0,0.0
43,South Africa,biomass_i,2000,2005,M1,year,0.0,0.0
44,South Africa,biomass_i,2000,2010,M1,year,0.0,0.0
45,South Africa,biomass_i,2000,2020,M1,year,0.0,0.0
46,South Africa,biomass_i,2005,2005,M1,year,0.0,0.0
47,South Africa,biomass_i,2005,2010,M1,year,0.0,0.0
48,South Africa,biomass_i,2005,2020,M1,year,0.0,0.0
49,South Africa,biomass_i,2005,2030,M1,year,0.0,11.111006
50,South Africa,biomass_i,2010,2010,M1,year,0.0,0.0
51,South Africa,biomass_i,2010,2020,M1,year,0.0,0.0
52,South Africa,biomass_i,2010,2030,M1,year,0.0,0.0
53,South Africa,biomass_i,2020,2020,M1,year,1.1840571,0.0
54,South Africa,biomass_i,2020,2030,M1,year,0.0,0.0
55,South Africa,biomass_i,2020,2040,M1,year,0.0,9.268261
56,South Africa,biomass_i,2030,2030,M1,year,0.7089387,0.0
57,South Africa,biomass_i,2030,2040,M1,year,0.0,0.0
58,South Africa,biomass_i,2030,2050,M1,year,0.0,5.8109703
59,South Africa,biomass_i,2040,2040,M1,year,0.4244678,0.0
60,South Africa,biomass_i,2040,2050,M1,year,0.0,0.0
61,South Africa,biomass_i,2040,2060,M1,year,0.0,2.5300264
62,South Africa,biomass_i,2050,2050,M1,year,0.25414455,0.0
63,South Africa,biomass_i,2050,2060,M1,year,0.0,0.0
64,South Africa,biomass_i,2050,2070,M1,year,0.0,1.705134
65,South Africa,biomass_i,2060,2060,M1,year,0.15216573,0.0
66,South Africa,biomass_i,2060,2070,M1,year,0.0,1.705134
67,South Africa,biomass_i,2070,2070,M1,year,0.09110724,0.0
68,South Africa,biomass_rc,1995,1995,M1,year,0.0,0.0
69,South Africa,biomass_rc,2000,2000,M1,year,0.0,0.0
70,South Africa,biomass_rc,2005,2005,M1,year,0.0,0.0
71,South Africa,biomass_rc,2010,2010,M1,year,0.0,0.0
72,South Africa,biomass_rc,2020,2020,M1,year,5.460388,0.0
73,South Africa,biomass_rc,2030,2030,M1,year,7.682222,0.0
74,South Africa,biomass_rc,2040,2040,M1,year,9.652454,0.0
75,South Africa,biomass_rc,2050,2050,M1,year,10.782948,0.0
76,South Africa,biomass_rc,2060,2060,M1,year,12.07146,0.0
77,South Africa,biomass_rc,2070,2070,M1,year,13.65333,0.0
78,South Africa,biomass_nc,1990,1990,M1,year,0.0,0.0
79,South Africa,biomass_nc,1990,1995,M1,year,0.0,0.0
80,South Africa,biomass_nc,1995,1995,M1,year,0.0,0.0
81,South Africa,biomass_nc,1995,2000,M1,year,0.0,0.0
82,South Africa,biomass_nc,2000,2000,M1,year,0.0,0.0
83,South Africa,biomass_nc,2000,2005,M1,year,0.0,0.0
84,South Africa,biomass_nc,2005,2005,M1,year,0.0,0.0
85,South Africa,biomass_nc,2005,2010,M1,year,0.0,0.0
86,South Africa,biomass_nc,2010,2010,M1,year,0.0,0.0
87,South Africa,biomass_nc,2010,2020,M1,year,0.0,0.0
88,South Africa,biomass_nc,2020,2020,M1,year,0.0,167.21317
89,South Africa,biomass_nc,2030,2030,M1,year,0.0,102.65438
90,South Africa,biomass_nc,2040,2040,M1,year,0.0,155.6395
