,node,commodity,level,year,time,lvl,mrg
0,South Africa,rc_therm,useful,2020,year,9.270768,0.0
1,South Africa,rc_therm,useful,2030,year,11.252243,0.0
2,South Africa,rc_therm,useful,2040,year,13.319478,0.0
3,South Africa,rc_therm,useful,2050,year,15.754524,0.0
4,South Africa,rc_therm,useful,2060,year,17.83582,0.0
5,South Africa,rc_therm,useful,2070,year,19.51856,0.0
6,South Africa,i_therm,useful,2020,year,11.193727,0.0
7,South Africa,i_therm,useful,2030,year,13.197756,0.0
8,South Africa,i_therm,useful,2040,year,14.6220665,0.0
9,South Africa,i_therm,useful,2050,year,15.05695,0.0
10,South Africa,i_therm,useful,2060,year,15.323945,0.0
11,South Africa,i_therm,useful,2070,year,15.405508,0.0
12,South Africa,rc_spec,useful,2020,year,5.440186,0.0
13,South Africa,rc_spec,useful,2030,year,7.8005605,0.0
14,South Africa,rc_spec,useful,2040,year,10.645605,0.0
15,South Africa,rc_spec,useful,2050,year,13.560928,0.0
16,South Africa,rc_spec,useful,2060,year,16.098064,0.0
17,South Africa,rc_spec,useful,2070,year,18.207504,0.0
18,South Africa,transport,useful,2020,year,25.63141,0.0
19,South Africa,transport,useful,2030,year,33.15295,0.0
20,South Africa,transport,useful,2040,year,40.887463,0.0
21,South Africa,transport,useful,2050,year,47.623318,0.0
22,South Africa,transport,useful,2060,year,53.346046,0.0
23,South Africa,transport,useful,2070,year,57.928562,0.0
24,South Africa,i_feed,useful,2020,year,5.612547,0.0
25,South Africa,i_feed,useful,2030,year,6.512612,0.0
26,South Africa,i_feed,useful,2040,year,7.0119267,0.0
27,South Africa,i_feed,useful,2050,year,7.272734,0.0
28,South Africa,i_feed,useful,2060,year,7.447884,0.0
29,South Africa,i_feed,useful,2070,year,7.528225,0.0
30,South Africa,i_spec,useful,2020,year,13.251898,0.0
31,South Africa,i_spec,useful,2030,year,17.079184,0.0
32,South Africa,i_spec,useful,2040,year,19.907507,0.0
33,South Africa,i_spec,useful,2050,year,21.285004,0.0
34,South Africa,i_spec,useful,2060,year,22.356567,0.0
35,South Africa,i_spec,useful,2070,year,23.087212,0.0
