,node,emission,type_tec,year,lvl,mrg
0,World,CO2,all,2020,509.79697,0.0
1,World,CO2,all,2030,587.3254,0.0
2,World,CO2,all,2040,588.98987,0.0
3,World,CO2,all,2050,631.46545,0.0
4,World,CO2,all,2060,702.82855,0.0
5,World,CO2,all,2070,830.4521,0.0
6,World,CH4,all,2020,13.321861,0.0
7,World,CH4,all,2030,14.199142,0.0
8,World,CH4,all,2040,13.583706,0.0
9,World,CH4,all,2050,14.271135,0.0
10,World,CH4,all,2060,15.67956,0.0
11,World,CH4,all,2070,18.89903,0.0
12,South Africa,CO2,all,2020,509.79697,0.0
13,South Africa,CO2,all,2030,587.3254,0.0
14,South Africa,CO2,all,2040,588.98987,0.0
15,South Africa,CO2,all,2050,631.46545,0.0
16,South Africa,CO2,all,2060,702.82855,0.0
17,South Africa,CO2,all,2070,830.4521,0.0
18,South Africa,CH4,all,2020,13.321861,0.0
19,South Africa,CH4,all,2030,14.199142,0.0
20,South Africa,CH4,all,2040,13.583706,0.0
21,South Africa,CH4,all,2050,14.271135,0.0
22,South Africa,CH4,all,2060,15.67956,0.0
23,South Africa,CH4,all,2070,18.89903,0.0
