,node,commodity,level,year,time,lvl,mrg
0,South Africa,rc_therm,useful,2020,year,101.440636,0.0
1,South Africa,rc_therm,useful,2030,year,389.59296,0.0
2,South Africa,rc_therm,useful,2040,year,400.66864,0.0
3,South Africa,rc_therm,useful,2050,year,385.69153,0.0
4,South Africa,rc_therm,useful,2060,year,354.68213,0.0
5,South Africa,rc_therm,useful,2070,year,260.2215,0.0
6,South Africa,coal,final,2020,year,63.267975,0.0
7,South Africa,coal,final,2030,year,60.74074,0.0
8,South Africa,coal,final,2040,year,56.666668,0.0
9,South Africa,coal,final,2050,year,57.0,0.0
10,South Africa,coal,final,2060,year,57.333332,0.0
11,South Africa,coal,final,2070,year,57.666668,0.0
12,South Africa,coal,primary,2020,year,36.77778,0.0
13,South Africa,coal,primary,2030,year,36.666668,0.0
14,South Africa,coal,primary,2040,year,36.666668,0.0
15,South Africa,coal,primary,2050,year,37.0,0.0
16,South Africa,coal,primary,2060,year,37.333332,0.0
17,South Africa,coal,primary,2070,year,37.666668,0.0
18,South Africa,coal,secondary,2020,year,43.267975,0.0
19,South Africa,coal,secondary,2030,year,40.74074,0.0
20,South Africa,coal,secondary,2040,year,36.666668,0.0
21,South Africa,coal,secondary,2050,year,37.0,0.0
22,South Africa,coal,secondary,2060,year,37.333332,0.0
23,South Africa,coal,secondary,2070,year,37.666668,0.0
24,South Africa,i_therm,useful,2020,year,195.52441,0.0
25,South Africa,i_therm,useful,2030,year,154.91145,0.0
26,South Africa,i_therm,useful,2040,year,148.52911,0.0
27,South Africa,i_therm,useful,2050,year,158.13123,0.0
28,South Africa,i_therm,useful,2060,year,139.69835,0.0
29,South Africa,i_therm,useful,2070,year,116.54865,0.0
30,South Africa,rc_spec,useful,2020,year,1233.2319,0.0
31,South Africa,rc_spec,useful,2030,year,898.10345,0.0
32,South Africa,rc_spec,useful,2040,year,693.0324,0.0
33,South Africa,rc_spec,useful,2050,year,722.2028,0.0
34,South Africa,rc_spec,useful,2060,year,644.7101,0.0
35,South Africa,rc_spec,useful,2070,year,492.61847,0.0
36,South Africa,transport,useful,2020,year,195.50383,0.0
37,South Africa,transport,useful,2030,year,229.91486,0.0
38,South Africa,transport,useful,2040,year,243.08856,0.0
39,South Africa,transport,useful,2050,year,289.44452,0.0
40,South Africa,transport,useful,2060,year,397.44275,0.0
41,South Africa,transport,useful,2070,year,205.82034,0.0
42,South Africa,i_feed,useful,2020,year,63.267975,0.0
43,South Africa,i_feed,useful,2030,year,60.74074,0.0
44,South Africa,i_feed,useful,2040,year,177.34329,0.0
45,South Africa,i_feed,useful,2050,year,176.4469,0.0
46,South Africa,i_feed,useful,2060,year,206.40479,0.0
47,South Africa,i_feed,useful,2070,year,147.02412,0.0
48,South Africa,biomass,final,2020,year,55.0,0.0
49,South Africa,biomass,final,2030,year,60.0,0.0
50,South Africa,biomass,final,2040,year,151.70932,0.0
51,South Africa,biomass,final,2050,year,157.81783,0.0
52,South Africa,biomass,final,2060,year,154.56963,0.0
53,South Africa,biomass,final,2070,year,105.85538,0.0
54,South Africa,biomass,primary,2020,year,50.0,0.0
55,South Africa,biomass,primary,2030,year,50.0,0.0
56,South Africa,biomass,primary,2040,year,136.70932,0.0
57,South Africa,biomass,primary,2050,year,137.81783,0.0
58,South Africa,biomass,primary,2060,year,129.56963,0.0
59,South Africa,biomass,primary,2070,year,75.85538,0.0
60,South Africa,electr,final,2020,year,517.95746,0.0
61,South Africa,electr,final,2030,year,431.08966,0.0
62,South Africa,electr,final,2040,year,374.23752,0.0
63,South Africa,electr,final,2050,year,433.32172,0.0
64,South Africa,electr,final,2060,year,435.17932,0.0
65,South Africa,electr,final,2070,year,380.02,0.0
66,South Africa,electr,secondary,2020,year,221.9939,0.0
67,South Africa,electr,secondary,2030,year,133.7488,0.0
68,South Africa,electr,secondary,2040,year,125.02035,0.0
69,South Africa,electr,secondary,2050,year,113.4532,0.0
70,South Africa,electr,secondary,2060,year,140.65671,0.0
71,South Africa,electr,secondary,2070,year,111.145226,0.0
72,South Africa,lightoil,final,2020,year,86.42036,0.0
73,South Africa,lightoil,final,2030,year,60.74074,0.0
