,node_loc,technology,year_vtg,year_act,lvl,mrg
0,South Africa,bio_istig,1995,2020,0.00062500004,0.0
1,South Africa,bio_istig,2000,2020,0.020347282,0.0
2,South Africa,bio_istig,2005,2020,0.0042,0.0
3,South Africa,bio_istig,2005,2030,0.0021,0.0
4,South Africa,bio_istig,2010,2010,0.0,0.0
5,South Africa,bio_istig,2010,2020,0.0,0.0
6,South Africa,bio_istig,2010,2030,0.0,0.0
7,South Africa,bio_istig,2020,2020,0.0078553315,0.0
8,South Africa,bio_istig,2020,2030,0.0078553315,0.0
9,South Africa,bio_istig,2020,2040,0.0039276658,0.0
10,South Africa,bio_istig,2030,2030,0.0027389845,0.0
11,South Africa,bio_istig,2030,2040,0.0027389845,0.0
12,South Africa,bio_istig,2030,2050,0.00030036582,0.0
13,South Africa,bio_istig,2040,2040,0.00095502485,0.0
14,South Africa,bio_istig,2040,2050,0.00095502485,0.0
15,South Africa,bio_istig,2040,2060,0.00047751243,0.0
16,South Africa,bio_istig,2050,2050,0.00033299657,0.0
17,South Africa,bio_istig,2050,2060,0.00033299657,0.0
18,South Africa,bio_istig,2050,2070,0.00015262619,0.0
19,South Africa,bio_istig,2060,2060,0.00011610873,0.0
20,South Africa,bio_istig,2060,2070,0.0,0.0
21,South Africa,bio_istig,2070,2070,4.0484607e-05,0.0
22,South Africa,biomass_i,1995,1995,0.0,0.0
23,South Africa,biomass_i,1995,2020,0.0,0.0
24,South Africa,biomass_i,2000,2000,0.0,0.0
25,South Africa,biomass_i,2000,2020,0.0,0.0
26,South Africa,biomass_i,2005,2005,0.0,0.0
27,South Africa,biomass_i,2005,2020,0.0,0.0
28,South Africa,biomass_i,2005,2030,0.0,0.0
29,South Africa,biomass_i,2010,2010,0.0,0.0
30,South Africa,biomass_i,2010,2020,0.0,0.0
31,South Africa,biomass_i,2010,2030,0.0,9.074476
32,South Africa,biomass_i,2020,2020,1.8216264,0.0
33,South Africa,biomass_i,2020,2030,0.0,9.074476
34,South Africa,biomass_i,2020,2040,0.0,0.0
35,South Africa,biomass_i,2030,2030,1.090675,0.0
36,South Africa,biomass_i,2030,2040,0.0,6.0243692
37,South Africa,biomass_i,2030,2050,0.0,0.0
38,South Africa,biomass_i,2040,2040,0.6530274,0.0
39,South Africa,biomass_i,2040,2050,0.0,3.7771304
40,South Africa,biomass_i,2040,2060,0.0,0.0
41,South Africa,biomass_i,2050,2050,0.39099163,0.0
42,South Africa,biomass_i,2050,2060,0.0,1.9680872
43,South Africa,biomass_i,2050,2070,0.0,0.0
44,South Africa,biomass_i,2060,2060,0.23410113,0.0
45,South Africa,biomass_i,2060,2070,0.0,0.0
46,South Africa,biomass_i,2070,2070,0.14016499,0.0
47,South Africa,biomass_nc,1990,1990,0.0,0.0
48,South Africa,biomass_nc,1995,1995,0.0,0.0
49,South Africa,biomass_nc,2000,2000,0.0,0.0
50,South Africa,biomass_nc,2005,2005,0.0,0.0
51,South Africa,biomass_nc,2010,2010,0.0,0.0
52,South Africa,biomass_nc,2010,2020,0.0,0.0
53,South Africa,biomass_nc,2020,2020,0.0,0.0
54,South Africa,biomass_nc,2030,2030,0.0,0.0
55,South Africa,biomass_nc,2040,2040,0.0,0.0
56,South Africa,biomass_nc,2050,2050,0.0,0.0
57,South Africa,biomass_nc,2060,2060,0.0,0.0
58,South Africa,biomass_nc,2070,2070,0.0,0.0
59,South Africa,coal_extr,1990,1990,0.0,0.0
60,South Africa,coal_extr,1995,1995,0.0,0.0
61,South Africa,coal_extr,2000,2000,0.0,0.0
62,South Africa,coal_extr,2005,2005,0.0,0.0
63,South Africa,coal_extr,2010,2010,0.0,0.0
64,South Africa,coal_extr,2010,2020,0.0,0.0
65,South Africa,coal_extr,2020,2020,214.82622,0.0
66,South Africa,coal_extr,2030,2030,229.96109,0.0
67,South Africa,coal_extr,2040,2040,232.194,0.0
68,South Africa,coal_extr,2050,2050,238.05766,0.0
69,South Africa,coal_extr,2060,2060,259.58167,0.0
70,South Africa,coal_extr,2070,2070,310.3508,0.0
71,South Africa,coal_adv,2010,2010,0.0,0.0
72,South Africa,coal_adv,2010,2020,0.0,0.0
73,South Africa,coal_adv,2010,2030,0.0,0.0
74,South Africa,coal_adv,2010,2040,0.0,0.0
75,South Africa,coal_adv,2020,2020,0.6651005,0.0
76,South Africa,coal_adv,2020,2030,0.6651005,0.0
77,South Africa,coal_adv,2020,2040,0.6651005,0.0
78,South Africa,coal_adv,2030,2030,0.23190619,0.0
79,South Africa,coal_adv,2030,2040,0.23190619,0.0
80,South Africa,coal_adv,2030,2050,0.23190619,0.0
81,South Africa,coal_adv,2040,2040,0.08086069,0.0
82,South Africa,coal_adv,2040,2050,0.08086069,0.0
83,South Africa,coal_adv,2040,2060,0.08086069,0.0
84,South Africa,coal_adv,2050,2050,0.028194379,0.0
85,South Africa,coal_adv,2050,2060,0.028194379,0.0
86,South Africa,coal_adv,2050,2070,0.028194379,0.0
87,South Africa,coal_adv,2060,2060,0.009830772,0.0
88,South Africa,coal_adv,2060,2070,0.009830772,0.0
89,South Africa,coal_adv,2070,2070,0.0034277781,0.0
90,South Africa,coal_adv_ccs,2020,2020,0.0,8.142997
91,South Africa,coal_adv_ccs,2020,2030,0.0,0.0
92,South Africa,coal_adv_ccs,2020,2040,0.0,0.5531507
93,South Africa,coal_adv_ccs,2030,2030,0.0,0.0
94,South Africa,coal_adv_ccs,2030,2040,0.0,0.0
95,South Africa,coal_adv_ccs,2030,2050,0.0,0.0
96,South Africa,coal_adv_ccs,2040,2040,0.0,22.042604
97,South Africa,coal_adv_ccs,2040,2050,0.0,0.0
98,South Africa,coal_adv_ccs,2040,2060,0.0,0.0
99,South Africa,coal_adv_ccs,2050,2050,0.0,12.949632
100,South Africa,coal_adv_ccs,2050,2060,0.0,0.0
101,South Africa,coal_adv_ccs,2050,2070,0.0,0.0
102,South Africa,coal_adv_ccs,2060,2060,0.0,6.118758
103,South Africa,coal_adv_ccs,2060,2070,0.0,0.0
104,South Africa,coal_adv_ccs,2070,2070,0.0,1.6252079
105,South Africa,coal_ppl,1990,2020,0.0,0.0
106,South Africa,coal_ppl,1995,1995,0.0,0.0
107,South Africa,coal_ppl,1995,2020,1.996,0.0
108,South Africa,coal_ppl,2000,2000,0.0,0.0
109,South Africa,coal_ppl,2000,2020,2.139,0.0
110,South Africa,coal_ppl,2000,2030,0.0,0.0
111,South Africa,coal_ppl,2005,2005,0.0,0.0
112,South Africa,coal_ppl,2005,2020,3.843,0.0
113,South Africa,coal_ppl,2005,2030,3.843,0.0
114,South Africa,coal_ppl,2010,2010,0.0,0.0
115,South Africa,coal_ppl,2010,2020,0.0,0.0
116,South Africa,coal_ppl,2010,2030,0.0,0.0
117,South Africa,coal_ppl,2010,2040,0.0,0.0
118,South Africa,coal_ppl,2020,2020,25.815605,0.0
119,South Africa,coal_ppl,2020,2030,25.815605,0.0
120,South Africa,coal_ppl,2020,2040,25.815605,0.0
121,South Africa,coal_ppl,2030,2030,11.969604,0.0
122,South Africa,coal_ppl,2030,2040,11.969604,0.0
123,South Africa,coal_ppl,2030,2050,11.969604,0.0
124,South Africa,coal_ppl,2040,2040,12.571521,0.0
125,South Africa,coal_ppl,2040,2050,12.571521,0.0
126,South Africa,coal_ppl,2040,2060,12.571521,0.0
