,node,commodity,level,year,time,lvl,mrg
0,South Africa,rc_therm,useful,2020,year,89.045746,0.0
1,South Africa,rc_therm,useful,2030,year,386.20755,0.0
2,South Africa,rc_therm,useful,2040,year,396.9652,0.0
3,South Africa,rc_therm,useful,2050,year,380.54745,0.0
4,South Africa,rc_therm,useful,2060,year,347.28418,0.0
5,South Africa,rc_therm,useful,2070,year,250.86195,0.0
6,South Africa,coal,final,2020,year,62.385624,0.0
7,South Africa,coal,final,2030,year,59.11574,0.0
8,South Africa,coal,final,2040,year,54.52729,0.0
9,South Africa,coal,final,2050,year,54.217594,0.0
10,South Africa,coal,final,2060,year,53.94005,0.0
11,South Africa,coal,final,2070,year,53.693047,0.0
12,South Africa,coal,primary,2020,year,36.02778,0.0
13,South Africa,coal,primary,2030,year,35.204166,0.0
14,South Africa,coal,primary,2040,year,34.52729,0.0
15,South Africa,coal,primary,2050,year,34.217594,0.0
16,South Africa,coal,primary,2060,year,33.94005,0.0
17,South Africa,coal,primary,2070,year,33.693047,0.0
18,South Africa,coal,secondary,2020,year,42.385624,0.0
19,South Africa,coal,secondary,2030,year,39.11574,0.0
20,South Africa,coal,secondary,2040,year,34.52729,0.0
21,South Africa,coal,secondary,2050,year,34.217594,0.0
22,South Africa,coal,secondary,2060,year,33.94005,0.0
23,South Africa,coal,secondary,2070,year,33.693047,0.0
24,South Africa,i_therm,useful,2020,year,193.8838,0.0
25,South Africa,i_therm,useful,2030,year,152.13918,0.0
26,South Africa,i_therm,useful,2040,year,145.24512,0.0
27,South Africa,i_therm,useful,2050,year,154.03944,0.0
28,South Africa,i_therm,useful,2060,year,134.70822,0.0
29,South Africa,i_therm,useful,2070,year,110.39321,0.0
30,South Africa,rc_spec,useful,2020,year,1215.8207,0.0
31,South Africa,rc_spec,useful,2030,year,889.5449,0.0
32,South Africa,rc_spec,useful,2040,year,721.892,0.0
33,South Africa,rc_spec,useful,2050,year,650.8148,0.0
34,South Africa,rc_spec,useful,2060,year,635.00323,0.0
35,South Africa,rc_spec,useful,2070,year,479.79422,0.0
36,South Africa,transport,useful,2020,year,195.30498,0.0
37,South Africa,transport,useful,2030,year,230.09541,0.0
38,South Africa,transport,useful,2040,year,243.36511,0.0
39,South Africa,transport,useful,2050,year,290.41888,0.0
40,South Africa,transport,useful,2060,year,401.3496,0.0
41,South Africa,transport,useful,2070,year,197.74774,0.0
42,South Africa,i_feed,useful,2020,year,62.385624,0.0
43,South Africa,i_feed,useful,2030,year,59.11574,0.0
44,South Africa,i_feed,useful,2040,year,174.85431,0.0
45,South Africa,i_feed,useful,2050,year,167.67769,0.0
46,South Africa,i_feed,useful,2060,year,200.79466,0.0
47,South Africa,i_feed,useful,2070,year,139.28125,0.0
48,South Africa,biomass,final,2020,year,52.5,0.0
49,South Africa,biomass,final,2030,year,55.125,0.0
50,South Africa,biomass,final,2040,year,149.8576,0.0
51,South Africa,biomass,final,2050,year,154.98859,0.0
52,South Africa,biomass,final,2060,year,150.04866,0.0
53,South Africa,biomass,final,2070,year,99.42071,0.0
54,South Africa,biomass,primary,2020,year,47.5,0.0
55,South Africa,biomass,primary,2030,year,45.125,0.0
56,South Africa,biomass,primary,2040,year,134.8576,0.0
57,South Africa,biomass,primary,2050,year,134.98859,0.0
58,South Africa,biomass,primary,2060,year,125.04866,0.0
59,South Africa,biomass,primary,2070,year,69.42071,0.0
60,South Africa,electr,final,2020,year,510.6447,0.0
61,South Africa,electr,final,2030,year,426.98157,0.0
62,South Africa,electr,final,2040,year,389.8217,0.0
63,South Africa,electr,final,2050,year,390.4889,0.0
64,South Africa,electr,final,2060,year,428.6272,0.0
65,South Africa,electr,final,2070,year,370.12698,0.0
66,South Africa,electr,secondary,2020,year,226.30212,0.0
67,South Africa,electr,secondary,2030,year,128.83446,0.0
68,South Africa,electr,secondary,2040,year,107.43411,0.0
69,South Africa,electr,secondary,2050,year,130.74428,0.0
70,South Africa,electr,secondary,2060,year,124.83137,0.0
71,South Africa,electr,secondary,2070,year,101.1315,0.0
72,South Africa,lightoil,final,2020,year,88.21003,0.0
73,South Africa,lightoil,final,2030,year,59.11574,0.0
74,South Africa,lightoil,final,2040,year,174.85431,0.0
75,South Africa,lightoil,final,2050,year,167.67769,0.0
76,South Africa,lightoil,final,2060,year,200.79466,0.0
77,South Africa,lightoil,final,2070,year,139.28125,0.0
78,South Africa,lightoil,secondary,2020,year,87.327934,0.0
79,South Africa,lightoil,secondary,2030,year,58.52459,0.0
80,South Africa,lightoil,secondary,2040,year,173.10577,0.0
81,South Africa,lightoil,secondary,2050,year,166.00092,0.0
82,South Africa,lightoil,secondary,2060,year,198.78673,0.0
83,South Africa,lightoil,secondary,2070,year,137.88844,0.0
84,South Africa,crudeoil,primary,2020,year,164.33649,0.0
85,South Africa,crudeoil,primary,2030,year,198.10187,0.0
86,South Africa,crudeoil,primary,2040,year,220.21922,0.0
87,South Africa,crudeoil,primary,2050,year,258.01212,0.0
88,South Africa,crudeoil,primary,2060,year,309.02972,0.0
89,South Africa,crudeoil,primary,2070,year,396.27924,0.0
90,South Africa,crudeoil,secondary,2020,year,164.33649,0.0
91,South Africa,crudeoil,secondary,2030,year,198.10187,0.0
92,South Africa,crudeoil,secondary,2040,year,220.21922,0.0
93,South Africa,crudeoil,secondary,2050,year,258.01212,0.0
94,South Africa,crudeoil,secondary,2060,year,309.02972,0.0
95,South Africa,crudeoil,secondary,2070,year,297.61935,0.0
96,South Africa,gas,final,2020,year,345.55444,0.0
97,South Africa,gas,final,2030,year,303.6721,0.0
98,South Africa,gas,final,2040,year,250.89754,0.0
99,South Africa,gas,final,2050,year,221.15173,0.0
100,South Africa,gas,final,2060,year,297.5363,0.0
101,South Africa,gas,final,2070,year,197.74774,0.0
102,South Africa,gas,primary,2020,year,184.14812,0.0
103,South Africa,gas,primary,2030,year,192.7195,0.0
104,South Africa,gas,primary,2040,year,210.87357,0.0
105,South Africa,gas,primary,2050,year,244.4272,0.0
106,South Africa,gas,primary,2060,year,302.86597,0.0
107,South Africa,gas,primary,2070,year,401.65082,0.0
108,South Africa,gas,secondary,2020,year,184.14812,0.0
109,South Africa,gas,secondary,2030,year,187.639,0.0
110,South Africa,gas,secondary,2040,year,169.9051,0.0
111,South Africa,gas,secondary,2050,year,159.47643,0.0
112,South Africa,gas,secondary,2060,year,205.67522,0.0
113,South Africa,gas,secondary,2070,year,106.832954,0.0
114,South Africa,fueloil,final,2020,year,195.30498,0.0
115,South Africa,fueloil,final,2030,year,230.09541,0.0
116,South Africa,fueloil,final,2040,year,243.36511,0.0
117,South Africa,fueloil,final,2050,year,290.41888,0.0
118,South Africa,fueloil,final,2060,year,388.43082,0.0
119,South Africa,fueloil,final,2070,year,232.89394,0.0
120,South Africa,fueloil,secondary,2020,year,193.35194,0.0
121,South Africa,fueloil,secondary,2030,year,227.79446,0.0
122,South Africa,fueloil,secondary,2040,year,240.93147,0.0
123,South Africa,fueloil,secondary,2050,year,287.5147,0.0
124,South Africa,fueloil,secondary,2060,year,384.54654,0.0
125,South Africa,fueloil,secondary,2070,year,230.565,0.0
126,South Africa,i_spec,useful,2020,year,663.1749,0.0
127,South Africa,i_spec,useful,2030,year,547.4123,0.0
128,South Africa,i_spec,useful,2040,year,487.27713,0.0
129,South Africa,i_spec,useful,2050,year,476.206,0.0
130,South Africa,i_spec,useful,2060,year,509.64822,0.0
131,South Africa,i_spec,useful,2070,year,428.8057,0.0
