,node_loc,technology,year_vtg,year_act,mode,time,lvl,mrg
0,Norway,bio_istig,2010,2010,M1,year,0.0,0.0
1,Norway,bio_istig,2010,2015,M1,year,0.0,0.0
2,Norway,bio_istig,2010,2020,M1,year,0.0,4.8217983
3,Norway,bio_istig,2010,2025,M1,year,0.0,16.057692
4,Norway,bio_istig,2010,2030,M1,year,0.0,28.579836
5,Norway,bio_istig,2015,2015,M1,year,0.0,0.0
6,Norway,bio_istig,2015,2020,M1,year,0.0,4.8217983
7,Norway,bio_istig,2015,2025,M1,year,0.0,16.057692
8,Norway,bio_istig,2015,2030,M1,year,0.0,28.579836
9,Norway,bio_istig,2015,2035,M1,year,0.0,0.024576342
10,Norway,bio_istig,2020,2020,M1,year,0.0,4.8217983
11,Norway,bio_istig,2020,2025,M1,year,0.0,16.057692
12,Norway,bio_istig,2020,2030,M1,year,0.0,28.579836
13,Norway,bio_istig,2020,2035,M1,year,0.0,0.024576342
14,Norway,bio_istig,2020,2040,M1,year,0.0,13.121802
15,Norway,bio_istig,2025,2025,M1,year,0.0,16.057692
16,Norway,bio_istig,2025,2030,M1,year,0.0,28.579836
17,Norway,bio_istig,2025,2035,M1,year,0.0,0.024576342
18,Norway,bio_istig,2025,2040,M1,year,0.0,13.121802
19,Norway,bio_istig,2025,2045,M1,year,0.0,3.9078522
20,Norway,bio_istig,2030,2030,M1,year,0.0,28.579836
21,Norway,bio_istig,2030,2035,M1,year,0.0,0.024576342
22,Norway,bio_istig,2030,2040,M1,year,0.0,13.121802
23,Norway,bio_istig,2030,2045,M1,year,0.0,3.9078522
24,Norway,bio_istig,2030,2050,M1,year,0.0,14.479855
25,Norway,bio_istig,2035,2035,M1,year,0.0,0.024576342
26,Norway,bio_istig,2035,2040,M1,year,0.0,13.121802
27,Norway,bio_istig,2035,2045,M1,year,0.0,3.9078522
28,Norway,bio_istig,2035,2050,M1,year,0.0,14.479855
29,Norway,bio_istig,2035,2055,M1,year,0.0,3.7605746
30,Norway,bio_istig,2040,2040,M1,year,0.0,13.121802
31,Norway,bio_istig,2040,2045,M1,year,0.0,3.9078522
32,Norway,bio_istig,2040,2050,M1,year,0.0,14.479855
33,Norway,bio_istig,2040,2055,M1,year,0.0,3.7605746
34,Norway,bio_istig,2040,2060,M1,year,0.0,11.181681
35,Norway,bio_istig,2045,2045,M1,year,0.0,3.9078522
36,Norway,bio_istig,2045,2050,M1,year,0.0,14.479855
37,Norway,bio_istig,2045,2055,M1,year,0.0,3.7605746
38,Norway,bio_istig,2045,2060,M1,year,0.0,11.181681
39,Norway,bio_istig,2045,2065,M1,year,0.0,0.80038536
40,Norway,bio_istig,2050,2050,M1,year,0.0,14.479855
41,Norway,bio_istig,2050,2055,M1,year,0.0,3.7605746
42,Norway,bio_istig,2050,2060,M1,year,0.0,11.181681
43,Norway,bio_istig,2050,2065,M1,year,0.0,0.80038536
44,Norway,bio_istig,2050,2070,M1,year,0.0,14.802735
45,Norway,bio_istig,2055,2055,M1,year,0.0,3.7605746
46,Norway,bio_istig,2055,2060,M1,year,0.0,11.181681
47,Norway,bio_istig,2055,2065,M1,year,0.0,0.80038536
48,Norway,bio_istig,2055,2070,M1,year,0.0,14.802735
49,Norway,bio_istig,2060,2060,M1,year,0.0,0.0
50,Norway,bio_istig,2060,2065,M1,year,0.0,0.0
51,Norway,bio_istig,2060,2070,M1,year,0.0,14.802735
52,Norway,bio_istig,2065,2065,M1,year,0.0,0.0
53,Norway,bio_istig,2065,2070,M1,year,0.0,5.4514155
54,Norway,bio_istig,2070,2070,M1,year,1.5585616,0.0
55,Norway,biomass_t_d,1990,1990,M1,year,0.0,0.0
56,Norway,biomass_t_d,1995,1995,M1,year,0.0,0.0
57,Norway,biomass_t_d,2000,2000,M1,year,0.0,0.0
58,Norway,biomass_t_d,2005,2005,M1,year,0.0,0.0
59,Norway,biomass_t_d,2010,2010,M1,year,0.0,0.0
60,Norway,biomass_t_d,2015,2015,M1,year,0.0,0.0
61,Norway,biomass_t_d,2020,2020,M1,year,1.4445667,0.0
62,Norway,biomass_t_d,2025,2025,M1,year,1.4763483,0.0
63,Norway,biomass_t_d,2030,2030,M1,year,0.0,0.0
64,Norway,biomass_t_d,2035,2035,M1,year,0.0,0.0
65,Norway,biomass_t_d,2040,2040,M1,year,0.0,0.0
66,Norway,biomass_t_d,2045,2045,M1,year,0.0,0.0
67,Norway,biomass_t_d,2050,2050,M1,year,0.0,0.0
68,Norway,biomass_t_d,2055,2055,M1,year,0.0,0.0
69,Norway,biomass_t_d,2060,2060,M1,year,0.0,0.0
70,Norway,biomass_t_d,2065,2065,M1,year,4.212329,0.0
71,Norway,biomass_t_d,2070,2070,M1,year,0.0,0.0
72,Norway,biomass_i,1995,1995,M1,year,0.0,0.0
73,Norway,biomass_i,1995,2000,M1,year,0.0,0.0
74,Norway,biomass_i,1995,2005,M1,year,0.0,0.0
75,Norway,biomass_i,1995,2010,M1,year,0.0,0.0
76,Norway,biomass_i,1995,2015,M1,year,0.0,0.0
77,Norway,biomass_i,2000,2000,M1,year,0.0,0.0
78,Norway,biomass_i,2000,2005,M1,year,0.0,0.0
79,Norway,biomass_i,2000,2010,M1,year,0.0,0.0
80,Norway,biomass_i,2000,2015,M1,year,0.0,0.0
81,Norway,biomass_i,2000,2020,M1,year,0.0,0.0
82,Norway,biomass_i,2005,2005,M1,year,0.0,0.0
83,Norway,biomass_i,2005,2010,M1,year,0.0,0.0
84,Norway,biomass_i,2005,2015,M1,year,0.0,0.0
85,Norway,biomass_i,2005,2020,M1,year,0.0,0.0
86,Norway,biomass_i,2005,2025,M1,year,0.0,0.0
87,Norway,biomass_i,2010,2010,M1,year,0.0,0.0
88,Norway,biomass_i,2010,2015,M1,year,0.0,0.0
89,Norway,biomass_i,2010,2020,M1,year,0.0,0.0
90,Norway,biomass_i,2010,2025,M1,year,0.0,0.0
91,Norway,biomass_i,2010,2030,M1,year,0.0,0.0
92,Norway,biomass_i,2015,2015,M1,year,0.0,0.0
93,Norway,biomass_i,2015,2020,M1,year,0.0,0.0
94,Norway,biomass_i,2015,2025,M1,year,0.0,0.0
95,Norway,biomass_i,2015,2030,M1,year,0.0,0.0
96,Norway,biomass_i,2015,2035,M1,year,0.0,0.0
97,Norway,biomass_i,2020,2020,M1,year,0.8089574,0.0
98,Norway,biomass_i,2020,2025,M1,year,0.8089574,0.0
99,Norway,biomass_i,2020,2030,M1,year,0.0,0.0
100,Norway,biomass_i,2020,2035,M1,year,0.0,2.5391877
101,Norway,biomass_i,2020,2040,M1,year,0.0,9.775225
102,Norway,biomass_i,2025,2025,M1,year,0.03936522,0.0
103,Norway,biomass_i,2025,2030,M1,year,0.0,2.5391877
104,Norway,biomass_i,2025,2035,M1,year,0.0,0.0
105,Norway,biomass_i,2025,2040,M1,year,0.0,3.5393124
106,Norway,biomass_i,2025,2045,M1,year,0.0,4.370203
107,Norway,biomass_i,2030,2030,M1,year,0.0,5.1818733
108,Norway,biomass_i,2030,2035,M1,year,0.0,0.0
109,Norway,biomass_i,2030,2040,M1,year,0.0,3.5393124
110,Norway,biomass_i,2030,2045,M1,year,0.0,4.370203
111,Norway,biomass_i,2030,2050,M1,year,0.0,11.558472
112,Norway,biomass_i,2035,2035,M1,year,0.0,0.0
113,Norway,biomass_i,2035,2040,M1,year,0.0,3.5393124
114,Norway,biomass_i,2035,2045,M1,year,0.0,4.370203
115,Norway,biomass_i,2035,2050,M1,year,0.0,7.6487093
116,Norway,biomass_i,2035,2055,M1,year,0.0,5.6056867
117,Norway,biomass_i,2040,2040,M1,year,0.0,3.5393124
118,Norway,biomass_i,2040,2045,M1,year,0.0,4.370203
119,Norway,biomass_i,2040,2050,M1,year,0.0,7.6487093
120,Norway,biomass_i,2040,2055,M1,year,0.0,2.5103748
121,Norway,biomass_i,2040,2060,M1,year,0.0,7.683266
122,Norway,biomass_i,2045,2045,M1,year,0.0,5.112895
123,Norway,biomass_i,2045,2050,M1,year,0.0,7.6487093
124,Norway,biomass_i,2045,2055,M1,year,0.0,2.5933468
125,Norway,biomass_i,2045,2060,M1,year,0.0,5.464525
126,Norway,biomass_i,2045,2065,M1,year,0.0,1.9142772
127,Norway,biomass_i,2050,2050,M1,year,0.0,7.6487093
128,Norway,biomass_i,2050,2055,M1,year,0.0,2.6763182
129,Norway,biomass_i,2050,2060,M1,year,0.0,5.6960444
130,Norway,biomass_i,2050,2065,M1,year,0.0,0.08466181
131,Norway,biomass_i,2050,2070,M1,year,0.0,5.1922364
132,Norway,biomass_i,2055,2055,M1,year,0.0,2.6763182
133,Norway,biomass_i,2055,2060,M1,year,0.0,5.927564
134,Norway,biomass_i,2055,2065,M1,year,0.0,0.14550424
135,Norway,biomass_i,2055,2070,M1,year,0.0,5.1922364
136,Norway,biomass_i,2060,2060,M1,year,0.0,6.1590834
137,Norway,biomass_i,2060,2065,M1,year,0.0,0.20634705
138,Norway,biomass_i,2060,2070,M1,year,0.0,5.1922364
139,Norway,biomass_i,2065,2065,M1,year,0.0,0.20634705
140,Norway,biomass_i,2065,2070,M1,year,0.0,3.7186882
141,Norway,biomass_i,2070,2070,M1,year,0.0,3.741882
142,Norway,biomass_rc,1995,1995,M1,year,0.0,0.0
143,Norway,biomass_rc,2000,2000,M1,year,0.0,0.0
144,Norway,biomass_rc,2005,2005,M1,year,0.0,0.0
145,Norway,biomass_rc,2010,2010,M1,year,0.0,0.0
146,Norway,biomass_rc,2015,2015,M1,year,0.0,0.0
147,Norway,biomass_rc,2020,2020,M1,year,0.0,19.450035
148,Norway,biomass_rc,2025,2025,M1,year,0.0,27.052229
149,Norway,biomass_rc,2030,2030,M1,year,0.0,28.95716
150,Norway,biomass_rc,2035,2035,M1,year,0.0,13.174388
151,Norway,biomass_rc,2040,2040,M1,year,0.0,20.203394
152,Norway,biomass_rc,2045,2045,M1,year,0.0,10.744564
153,Norway,biomass_rc,2050,2050,M1,year,0.0,15.201977
154,Norway,biomass_rc,2055,2055,M1,year,0.0,7.277295
155,Norway,biomass_rc,2060,2060,M1,year,0.0,9.887264
156,Norway,biomass_rc,2065,2065,M1,year,2.725624,0.0
157,Norway,biomass_rc,2070,2070,M1,year,0.0,4.2530227
158,Norway,biomass_nc,1990,1990,M1,year,0.0,0.0
159,Norway,biomass_nc,1990,1995,M1,year,0.0,0.0
160,Norway,biomass_nc,1995,1995,M1,year,0.0,0.0
161,Norway,biomass_nc,1995,2000,M1,year,0.0,0.0
162,Norway,biomass_nc,2000,2000,M1,year,0.0,0.0
163,Norway,biomass_nc,2000,2005,M1,year,0.0,0.0
164,Norway,biomass_nc,2005,2005,M1,year,0.0,0.0
165,Norway,biomass_nc,2005,2010,M1,year,0.0,0.0
166,Norway,biomass_nc,2010,2010,M1,year,0.0,0.0
167,Norway,biomass_nc,2010,2015,M1,year,0.0,0.0
168,Norway,biomass_nc,2015,2015,M1,year,0.0,0.0
169,Norway,biomass_nc,2015,2020,M1,year,0.0,93.75426
170,Norway,biomass_nc,2020,2020,M1,year,0.0,0.0
171,Norway,biomass_nc,2020,2025,M1,year,0.0,120.30002
172,Norway,biomass_nc,2025,2025,M1,year,0.0,0.0
173,Norway,biomass_nc,2025,2030,M1,year,0.0,125.73016
174,Norway,biomass_nc,2030,2030,M1,year,0.0,0.0
175,Norway,biomass_nc,2030,2035,M1,year,0.0,66.44995
176,Norway,biomass_nc,2035,2035,M1,year,0.0,0.0
177,Norway,biomass_nc,2035,2040,M1,year,0.0,90.65263
178,Norway,biomass_nc,2040,2040,M1,year,0.0,0.0
179,Norway,biomass_nc,2040,2045,M1,year,0.0,54.99171
180,Norway,biomass_nc,2045,2045,M1,year,0.0,0.0
181,Norway,biomass_nc,2045,2050,M1,year,0.0,73.05949
182,Norway,biomass_nc,2050,2050,M1,year,0.0,0.0
183,Norway,biomass_nc,2050,2055,M1,year,0.0,40.104954
184,Norway,biomass_nc,2055,2055,M1,year,0.0,0.0
185,Norway,biomass_nc,2055,2060,M1,year,0.0,51.549534
186,Norway,biomass_nc,2060,2060,M1,year,0.0,0.0
187,Norway,biomass_nc,2060,2065,M1,year,0.0,28.79445
188,Norway,biomass_nc,2065,2065,M1,year,0.0,0.0
189,Norway,biomass_nc,2065,2070,M1,year,0.0,56.23671
190,Norway,biomass_nc,2070,2070,M1,year,0.0,52.592354
191,Norway,coal_extr,1990,1990,M1,year,0.0,0.0
192,Norway,coal_extr,1990,1995,M1,year,0.0,0.0
193,Norway,coal_extr,1995,1995,M1,year,0.0,0.0
194,Norway,coal_extr,1995,2000,M1,year,0.0,0.0
195,Norway,coal_extr,2000,2000,M1,year,0.0,0.0
196,Norway,coal_extr,2000,2005,M1,year,0.0,0.0
197,Norway,coal_extr,2005,2005,M1,year,0.0,0.0
198,Norway,coal_extr,2005,2010,M1,year,0.0,0.0
199,Norway,coal_extr,2010,2010,M1,year,0.0,0.0
