,node,year,lvl,mrg
0,World,2020,0.0,0.0
1,World,2025,0.0,0.0
2,World,2030,0.0,0.0
3,World,2035,0.0,0.0
4,World,2040,0.0,0.0
5,World,2045,0.0,0.0
6,World,2050,0.0,0.0
7,World,2055,0.0,0.0
8,World,2060,0.0,0.0
9,World,2065,0.0,0.0
10,World,2070,0.0,0.0
11,World,1950,0.0,0.0
12,World,1945,0.0,0.0
13,World,1940,0.0,0.0
14,World,1935,0.0,0.0
15,World,1930,0.0,0.0
16,World,1925,0.0,0.0
17,World,1920,0.0,0.0
18,World,1915,0.0,0.0
19,World,1910,0.0,0.0
20,World,1905,0.0,0.0
21,World,1900,0.0,0.0
22,Norway,2020,13894.066,0.0
23,Norway,2025,6118.2993,0.0
24,Norway,2030,6385.4966,0.0
25,Norway,2035,6926.5596,0.0
26,Norway,2040,9651.1875,0.0
27,Norway,2045,8717.919,0.0
28,Norway,2050,10034.875,0.0
29,Norway,2055,21681.883,0.0
30,Norway,2060,-15186.59,0.0
31,Norway,2065,-225875.19,0.0
32,Norway,2070,-14477412.0,0.0
33,Norway,1950,0.0,0.0
34,Norway,1945,0.0,0.0
35,Norway,1940,0.0,0.0
36,Norway,1935,0.0,0.0
37,Norway,1930,0.0,0.0
38,Norway,1925,0.0,0.0
39,Norway,1920,0.0,0.0
40,Norway,1915,0.0,0.0
41,Norway,1910,0.0,0.0
42,Norway,1905,0.0,0.0
43,Norway,1900,0.0,0.0
