,node,commodity,level,year,time,lvl,mrg
0,Norway,rc_therm,useful,2020,year,3.2234309,0.0
1,Norway,rc_therm,useful,2025,year,3.3798609,0.0
2,Norway,rc_therm,useful,2030,year,3.5232692,0.0
3,Norway,rc_therm,useful,2035,year,3.5567937,0.0
4,Norway,rc_therm,useful,2040,year,3.5724633,0.0
5,Norway,rc_therm,useful,2045,year,3.6513512,0.0
6,Norway,rc_therm,useful,2050,year,3.717644,0.0
7,Norway,rc_therm,useful,2055,year,3.8572707,0.0
8,Norway,rc_therm,useful,2060,year,3.9994662,0.0
9,Norway,rc_therm,useful,2065,year,4.1546707,0.0
10,Norway,rc_therm,useful,2070,year,4.3127265,0.0
11,Norway,i_therm,useful,2020,year,0.8089574,0.0
12,Norway,i_therm,useful,2025,year,0.84832263,0.0
13,Norway,i_therm,useful,2030,year,0.8844271,0.0
14,Norway,i_therm,useful,2035,year,0.9235981,0.0
15,Norway,i_therm,useful,2040,year,0.9601088,0.0
16,Norway,i_therm,useful,2045,year,0.9919802,0.0
17,Norway,i_therm,useful,2050,year,1.0209244,0.0
18,Norway,i_therm,useful,2055,year,1.0553048,0.0
19,Norway,i_therm,useful,2060,year,1.0902523,0.0
20,Norway,i_therm,useful,2065,year,1.1350176,0.0
21,Norway,i_therm,useful,2070,year,1.1806358,0.0
22,Norway,rc_spec,useful,2020,year,8.848702,0.0
23,Norway,rc_spec,useful,2025,year,9.278121,0.0
24,Norway,rc_spec,useful,2030,year,9.671794,0.0
25,Norway,rc_spec,useful,2035,year,9.7638235,0.0
26,Norway,rc_spec,useful,2040,year,9.806838,0.0
27,Norway,rc_spec,useful,2045,year,10.023395,0.0
28,Norway,rc_spec,useful,2050,year,10.205376,0.0
29,Norway,rc_spec,useful,2055,year,10.588668,0.0
30,Norway,rc_spec,useful,2060,year,10.979012,0.0
31,Norway,rc_spec,useful,2065,year,11.4050665,0.0
32,Norway,rc_spec,useful,2070,year,11.838948,0.0
33,Norway,transport,useful,2020,year,7.23833,0.0
34,Norway,transport,useful,2025,year,7.7740335,0.0
35,Norway,transport,useful,2030,year,8.29286,0.0
36,Norway,transport,useful,2035,year,8.822186,0.0
37,Norway,transport,useful,2040,year,9.336166,0.0
38,Norway,transport,useful,2045,year,9.579882,0.0
39,Norway,transport,useful,2050,year,9.792293,0.0
40,Norway,transport,useful,2055,year,9.695024,0.0
41,Norway,transport,useful,2060,year,9.588282,0.0
42,Norway,transport,useful,2065,year,9.177791,0.0
43,Norway,transport,useful,2070,year,8.750093,0.0
44,Norway,i_feed,useful,2020,year,2.6609223,0.0
45,Norway,i_feed,useful,2025,year,2.7904074,0.0
46,Norway,i_feed,useful,2030,year,2.9091666,0.0
47,Norway,i_feed,useful,2035,year,3.0380127,0.0
48,Norway,i_feed,useful,2040,year,3.1581082,0.0
49,Norway,i_feed,useful,2045,year,3.2629435,0.0
50,Norway,i_feed,useful,2050,year,3.3581505,0.0
51,Norway,i_feed,useful,2055,year,3.4712389,0.0
52,Norway,i_feed,useful,2060,year,3.5861921,0.0
53,Norway,i_feed,useful,2065,year,3.73344,0.0
54,Norway,i_feed,useful,2070,year,3.883493,0.0
55,Norway,i_spec,useful,2020,year,5.416365,0.0
56,Norway,i_spec,useful,2025,year,5.6799345,0.0
57,Norway,i_spec,useful,2030,year,5.9216714,0.0
58,Norway,i_spec,useful,2035,year,6.183941,0.0
59,Norway,i_spec,useful,2040,year,6.4283977,0.0
60,Norway,i_spec,useful,2045,year,6.6417923,0.0
61,Norway,i_spec,useful,2050,year,6.835588,0.0
62,Norway,i_spec,useful,2055,year,7.0657816,0.0
63,Norway,i_spec,useful,2060,year,7.299772,0.0
64,Norway,i_spec,useful,2065,year,7.599498,0.0
65,Norway,i_spec,useful,2070,year,7.904934,0.0
