,node,emission,type_tec,year,lvl,mrg
0,World,CO2,all,2020,10.835416,0.0
1,World,CO2,all,2025,12.669796,0.0
2,World,CO2,all,2030,11.085766,0.0
3,World,CO2,all,2035,11.42606,0.0
4,World,CO2,all,2040,13.830794,0.0
5,World,CO2,all,2045,14.155672,0.0
6,World,CO2,all,2050,15.649204,0.0
7,World,CO2,all,2055,70.34503,0.0
8,World,CO2,all,2060,36.96741,0.0
9,World,CO2,all,2065,637.4577,0.0
10,World,CO2,all,2070,-136633.22,0.0
11,World,CO2,all,1950,0.0,0.0
12,World,CO2,all,1945,0.0,0.0
13,World,CO2,all,1940,0.0,0.0
14,World,CO2,all,1935,0.0,0.0
15,World,CO2,all,1930,0.0,0.0
16,World,CO2,all,1925,0.0,0.0
17,World,CO2,all,1920,0.0,0.0
18,World,CO2,all,1915,0.0,0.0
19,World,CO2,all,1910,0.0,0.0
20,World,CO2,all,1905,0.0,0.0
21,World,CO2,all,1900,0.0,0.0
22,World,CH4,all,2020,0.0,0.0
23,World,CH4,all,2025,0.0,0.0
24,World,CH4,all,2030,0.0,0.0
25,World,CH4,all,2035,0.0,0.0
26,World,CH4,all,2040,0.0,0.0
27,World,CH4,all,2045,0.0,0.0
28,World,CH4,all,2050,0.0,0.0
29,World,CH4,all,2055,0.0,0.0
30,World,CH4,all,2060,0.0,0.0
31,World,CH4,all,2065,18.271162,0.0
32,World,CH4,all,2070,9536.823,0.0
33,World,CH4,all,1950,0.0,0.0
34,World,CH4,all,1945,0.0,0.0
35,World,CH4,all,1940,0.0,0.0
36,World,CH4,all,1935,0.0,0.0
37,World,CH4,all,1930,0.0,0.0
38,World,CH4,all,1925,0.0,0.0
39,World,CH4,all,1920,0.0,0.0
40,World,CH4,all,1915,0.0,0.0
41,World,CH4,all,1910,0.0,0.0
42,World,CH4,all,1905,0.0,0.0
43,World,CH4,all,1900,0.0,0.0
44,Norway,CO2,all,2020,10.835416,0.0
45,Norway,CO2,all,2025,12.669796,0.0
46,Norway,CO2,all,2030,11.085766,0.0
47,Norway,CO2,all,2035,11.42606,0.0
48,Norway,CO2,all,2040,13.830794,0.0
49,Norway,CO2,all,2045,14.155672,0.0
50,Norway,CO2,all,2050,15.649204,0.0
51,Norway,CO2,all,2055,70.34503,0.0
52,Norway,CO2,all,2060,36.96741,0.0
53,Norway,CO2,all,2065,637.4577,0.0
54,Norway,CO2,all,2070,-136633.22,0.0
55,Norway,CO2,all,1950,0.0,0.0
56,Norway,CO2,all,1945,0.0,0.0
57,Norway,CO2,all,1940,0.0,0.0
58,Norway,CO2,all,1935,0.0,0.0
59,Norway,CO2,all,1930,0.0,0.0
60,Norway,CO2,all,1925,0.0,0.0
61,Norway,CO2,all,1920,0.0,0.0
62,Norway,CO2,all,1915,0.0,0.0
63,Norway,CO2,all,1910,0.0,0.0
64,Norway,CO2,all,1905,0.0,0.0
65,Norway,CO2,all,1900,0.0,0.0
66,Norway,CH4,all,2020,0.0,0.0
67,Norway,CH4,all,2025,0.0,0.0
68,Norway,CH4,all,2030,0.0,0.0
69,Norway,CH4,all,2035,0.0,0.0
70,Norway,CH4,all,2040,0.0,0.0
71,Norway,CH4,all,2045,0.0,0.0
72,Norway,CH4,all,2050,0.0,0.0
73,Norway,CH4,all,2055,0.0,0.0
74,Norway,CH4,all,2060,0.0,0.0
75,Norway,CH4,all,2065,18.271162,0.0
76,Norway,CH4,all,2070,9536.823,0.0
77,Norway,CH4,all,1950,0.0,0.0
78,Norway,CH4,all,1945,0.0,0.0
79,Norway,CH4,all,1940,0.0,0.0
80,Norway,CH4,all,1935,0.0,0.0
81,Norway,CH4,all,1930,0.0,0.0
82,Norway,CH4,all,1925,0.0,0.0
83,Norway,CH4,all,1920,0.0,0.0
84,Norway,CH4,all,1915,0.0,0.0
85,Norway,CH4,all,1910,0.0,0.0
86,Norway,CH4,all,1905,0.0,0.0
87,Norway,CH4,all,1900,0.0,0.0
