,relation,node_rel,year_rel,lvl,mrg
0,weight_rc,World,2020,0.0,0.0
1,weight_rc,World,2025,0.0,0.0
2,weight_rc,World,2030,0.0,0.0
3,weight_rc,World,2035,0.0,0.0
4,weight_rc,World,2040,0.0,0.0
5,weight_rc,World,2045,0.0,0.0
6,weight_rc,World,2050,0.0,0.0
7,weight_rc,World,2055,0.0,0.0
8,weight_rc,World,2060,0.0,0.0
9,weight_rc,World,2065,0.0,0.0
10,weight_rc,World,2070,0.0,0.0
11,weight_rc,World,1950,0.0,0.0
12,weight_rc,World,1945,0.0,0.0
13,weight_rc,World,1940,0.0,0.0
14,weight_rc,World,1935,0.0,0.0
15,weight_rc,World,1930,0.0,0.0
16,weight_rc,World,1925,0.0,0.0
17,weight_rc,World,1920,0.0,0.0
18,weight_rc,World,1915,0.0,0.0
19,weight_rc,World,1910,0.0,0.0
20,weight_rc,World,1905,0.0,0.0
21,weight_rc,World,1900,0.0,0.0
22,weight_rc,Norway,2020,5.641004,0.0
23,weight_rc,Norway,2025,5.492274,0.0
24,weight_rc,Norway,2030,5.2849035,0.0
25,weight_rc,Norway,2035,5.335191,0.0
26,weight_rc,Norway,2040,5.358695,0.0
27,weight_rc,Norway,2045,5.477027,0.0
28,weight_rc,Norway,2050,5.5764656,0.0
29,weight_rc,Norway,2055,5.785906,0.0
30,weight_rc,Norway,2060,5.9991994,0.0
31,weight_rc,Norway,2065,6.8051496,0.0
32,weight_rc,Norway,2070,4.743999,0.0
33,weight_rc,Norway,1950,0.0,0.0
34,weight_rc,Norway,1945,0.0,0.0
35,weight_rc,Norway,1940,0.0,0.0
36,weight_rc,Norway,1935,0.0,0.0
37,weight_rc,Norway,1930,0.0,0.0
38,weight_rc,Norway,1925,0.0,0.0
39,weight_rc,Norway,1920,0.0,0.0
40,weight_rc,Norway,1915,0.0,0.0
41,weight_rc,Norway,1910,0.0,0.0
42,weight_rc,Norway,1905,0.0,0.0
43,weight_rc,Norway,1900,0.0,0.0
44,weight_trp,World,2020,0.0,0.0
45,weight_trp,World,2025,0.0,0.0
46,weight_trp,World,2030,0.0,0.0
47,weight_trp,World,2035,0.0,0.0
48,weight_trp,World,2040,0.0,0.0
49,weight_trp,World,2045,0.0,0.0
50,weight_trp,World,2050,0.0,0.0
51,weight_trp,World,2055,0.0,0.0
52,weight_trp,World,2060,0.0,0.0
53,weight_trp,World,2065,0.0,0.0
54,weight_trp,World,2070,0.0,0.0
55,weight_trp,World,1950,0.0,0.0
56,weight_trp,World,1945,0.0,0.0
57,weight_trp,World,1940,0.0,0.0
58,weight_trp,World,1935,0.0,0.0
59,weight_trp,World,1930,0.0,0.0
60,weight_trp,World,1925,0.0,0.0
61,weight_trp,World,1920,0.0,0.0
62,weight_trp,World,1915,0.0,0.0
63,weight_trp,World,1910,0.0,0.0
64,weight_trp,World,1905,0.0,0.0
65,weight_trp,World,1900,0.0,0.0
66,weight_trp,Norway,2020,0.0,0.0
67,weight_trp,Norway,2025,0.0,0.0
68,weight_trp,Norway,2030,0.0,0.0
69,weight_trp,Norway,2035,0.0,0.0
70,weight_trp,Norway,2040,0.0,0.0
71,weight_trp,Norway,2045,0.0,0.0
72,weight_trp,Norway,2050,0.0,0.0
73,weight_trp,Norway,2055,0.0,0.0
74,weight_trp,Norway,2060,0.0,0.0
75,weight_trp,Norway,2065,0.0,0.0
76,weight_trp,Norway,2070,0.0,0.0
77,weight_trp,Norway,1950,0.0,0.0
78,weight_trp,Norway,1945,0.0,0.0
79,weight_trp,Norway,1940,0.0,0.0
80,weight_trp,Norway,1935,0.0,0.0
81,weight_trp,Norway,1930,0.0,0.0
82,weight_trp,Norway,1925,0.0,0.0
83,weight_trp,Norway,1920,0.0,0.0
84,weight_trp,Norway,1915,0.0,0.0
85,weight_trp,Norway,1910,0.0,0.0
86,weight_trp,Norway,1905,0.0,0.0
87,weight_trp,Norway,1900,0.0,0.0
