Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1444;Sølbergfallet;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Orkdal;24;01.01.1900;01.01.1900;0.30;1.50;;;;3;121.1A
98;Fritzøe;Kraftverk;FRITZØE SKOGER M S TRESCHOW;915257909;Vestfold;7;Larvik;12;01.01.1901;01.01.1901;3.30;12.93;23,29;20;0,046;2;015.4A
516;Øvre Leirfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;1;01.01.1901;01.01.2008;3.10;23.25;34;10;0,086;3;123.A3
352;Sagefoss;Kraftverk;E-CO ENERGI AS;976894677;Vest-Agder;10;Kvinesdal;37;09.01.1901;09.01.1901;2.90;6.22;106;3,29;0,244;2;025.32A
126;Hammeren;Kraftverk;E-CO ENERGI AS;976894677;Oslo;3;Oslo;1;21.12.1901;21.12.1901;4.70;23.45;105;6,8;0,192;1;006.C2
1120;Eidsfoss;Kraftverk;Aktieselskapet Eidsfos Verk;911314436;Vestfold;7;Holmestrand;15;01.01.1903;01.01.1903;0.90;4.00;;;;2;012.AB6
78;Evenstad;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Froland;19;03.03.1904;03.03.1904;23.50;123.45;17,3;175,92;0,039;2;019.B42
1194;Gaula;Kraftverk;MIDT ENERGI AS;977205719;Trøndelag;50;Holtålen;26;01.01.1905;20.04.2009;3.00;16.00;79,4;4;0,198;3;122.G40
378;Skjenaldfoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Orkdal;24;01.06.1906;01.06.1906;4.80;22.42;59,29;10,02;0,133;3;121.1A
57;Dalsfos;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Kragerø;15;01.01.1907;01.01.1907;6.20;32.28;22;36;0,048;2;017.B
